Order Number,Receipt Time HH,Day,Product,Category Name,Group,SubCategory,Is_Local,Category
317666,23,Saturday,ZUCCHINI BALLS,Food,19F - BIG DINNER MENUS,Big Dinner Menus,No,Appetizers & Sides
317666,23,Saturday,LOCAL MYKONIAN PIES,Food,19F - BIG DINNER MENUS,Big Dinner Menus,Yes,Desserts
317666,23,Saturday,LOCAL MYKONIAN PIES,Food,19F - BIG DINNER MENUS,Big Dinner Menus,Yes,Desserts
317666,23,Saturday,VEGAN BROWNIES,Food,19F - BIG DINNER MENUS,Big Dinner Menus,No,Breakfast & Brunch
317666,23,Saturday,VEGAN BROWNIES,Food,19F - BIG DINNER MENUS,Big Dinner Menus,No,Breakfast & Brunch
317666,23,Saturday,SORBET,Food,19F - BIG DINNER MENUS,Big Dinner Menus,No,Desserts
317666,23,Saturday,SORBET,Food,19F - BIG DINNER MENUS,Big Dinner Menus,No,Desserts
317666,23,Saturday,ASPARAGUS,Food,19F - BIG DINNER MENUS,Big Dinner Menus,No,Appetizers & Sides
317666,23,Saturday,MYCONIAN LAMB,Food,19F - BIG DINNER MENUS,Big Dinner Menus,Yes,Main Dishes
317666,23,Saturday,HOMEMADE RAVIOLI,Food,19F - BIG DINNER MENUS,Big Dinner Menus,Yes,Main Dishes
214667,23,Friday,LOCAL MYKONIAN PIES,Food,19F - BIG DINNER MENUS,Big Dinner Menus,Yes,Desserts
411901,23,Saturday,PAN-FRIED SHRIMP TERRINE,Food,19F - BIG DINNER MENUS,Big Dinner Menus,No,Main Dishes
411901,23,Saturday,PAN-FRIED SHRIMP TERRINE,Food,19F - BIG DINNER MENUS,Big Dinner Menus,No,Main Dishes
411901,23,Saturday,VEAL CHEEKS,Food,19F - BIG DINNER MENUS,Big Dinner Menus,No,Main Dishes
411901,23,Saturday,MYCONIAN LAMB,Food,19F - BIG DINNER MENUS,Big Dinner Menus,Yes,Main Dishes
411901,23,Saturday,MARINATED FRESH FISH CARPACCIO & TARTARE,Food,19F - BIG DINNER MENUS,Big Dinner Menus,No,Main Dishes
411901,23,Saturday,MARINATED FRESH FISH CARPACCIO & TARTARE,Food,19F - BIG DINNER MENUS,Big Dinner Menus,No,Main Dishes
411901,23,Saturday,SORBET,Food,19F - BIG DINNER MENUS,Big Dinner Menus,No,Desserts
411901,23,Saturday,SORBET,Food,19F - BIG DINNER MENUS,Big Dinner Menus,No,Desserts
411901,23,Saturday,GREEK YOGHURT W SUMMER FRUITS & HONEY,Food,19F - BIG DINNER MENUS,Big Dinner Menus,No,Breakfast & Brunch
411901,23,Saturday,GREEK YOGHURT W SUMMER FRUITS & HONEY,Food,19F - BIG DINNER MENUS,Big Dinner Menus,No,Breakfast & Brunch
411901,23,Saturday,SEA BASS FILLET,Food,19F - BIG DINNER MENUS,Big Dinner Menus,No,Main Dishes
411901,23,Saturday,SEA BASS FILLET,Food,19F - BIG DINNER MENUS,Big Dinner Menus,No,Main Dishes
410678,23,Wednesday,SORBET,Food,19F - BIG DINNER MENUS,Big Dinner Menus,No,Desserts
410678,23,Wednesday,SORBET,Food,19F - BIG DINNER MENUS,Big Dinner Menus,No,Desserts
410678,23,Wednesday,GREEK YOGHURT W SUMMER FRUITS & HONEY,Food,19F - BIG DINNER MENUS,Big Dinner Menus,No,Breakfast & Brunch
410678,23,Wednesday,GREEK YOGHURT W SUMMER FRUITS & HONEY,Food,19F - BIG DINNER MENUS,Big Dinner Menus,No,Breakfast & Brunch
410678,23,Wednesday,PAN-FRIED SHRIMP TERRINE,Food,19F - BIG DINNER MENUS,Big Dinner Menus,No,Main Dishes
410678,23,Wednesday,PAN-FRIED SHRIMP TERRINE,Food,19F - BIG DINNER MENUS,Big Dinner Menus,No,Main Dishes
410678,23,Wednesday,MARINATED FRESH FISH CARPACCIO & TARTARE,Food,19F - BIG DINNER MENUS,Big Dinner Menus,No,Main Dishes
410678,23,Wednesday,MARINATED FRESH FISH CARPACCIO & TARTARE,Food,19F - BIG DINNER MENUS,Big Dinner Menus,No,Main Dishes
410678,23,Wednesday,SEA BASS FILLET,Food,19F - BIG DINNER MENUS,Big Dinner Menus,No,Main Dishes
410678,23,Wednesday,SEA BASS FILLET,Food,19F - BIG DINNER MENUS,Big Dinner Menus,No,Main Dishes
410678,23,Wednesday,VEAL CHEEKS,Food,19F - BIG DINNER MENUS,Big Dinner Menus,No,Main Dishes
